티타임을위하여착한사람문성현열린사회와그적들눈사람속의검은항아리씨앗불목마른계절술먹고담배피우는엄마목련꽃그늘아래서	소설/시/희곡
8	한국뇌신경과학회	[MANUAL]
6	한국면역학회	[MANUAL]
6	한국발암학회	[MANUAL]
6	한국독성학회	[MANUAL]
8	한국응용곤충학회	[MANUAL]
8	한국식물병리학회	[MANUAL]
6	한국육종학회	[MANUAL]
6	한국작물학회	[MANUAL]
6	한국원예학회	[MANUAL]
7	한국산림과학회	[MANUAL]
5	한국임학회	[MANUAL]
7	한국목재공학회	[MANUAL]
6	한국축산학회	[MANUAL]
9	한국초지조랑말학회	[MANUAL]
7	한국수산과학회	[MANUAL]
6	한국어류학회	[MANUAL]
6	한국패류학회	[MANUAL]
7	한국식품과학회	[MANUAL]
9	한국식품영양과학회	[MANUAL]
11	한국식품위생안전성학회	[MANUAL]
6	한국영양학회	[MANUAL]
7	한국조리과학회	[MANUAL]
8	한국외식산업학회	[MANUAL]
6	한국경영학회	[MANUAL]
7	한국마케팅학회	[MANUAL]
6	한국회계학회	[MANUAL]
6	한국재무학회	[MANUAL]
6	한국금융학회	[MANUAL]
6	한국증권학회	[MANUAL]
6	한국보험학회	[MANUAL]
8	한국인사관리학회	[MANUAL]
8	한국생산관리학회	[MANUAL]
8	한국경영정보학회	[MANUAL]
7	한국경영과학회	[MANUAL]
8	한국품질경영학회	[MANUAL]
7	한국신뢰성학회	[MANUAL]
10	한국프로젝트경영학회	[MANUAL]
9	한국경영컨설팅학회	[MANUAL]
6	한국창업학회	[MANUAL]
8	한국벤처창업학회	[MANUAL]
8	한국중소기업학회	[MANUAL]
8	한국국제경영학회	[MANUAL]
8	한국국제통상학회	[MANUAL]
6	한국무역학회	[MANUAL]
8	한국통상정보학회	[MANUAL]
6	한국물류학회	[MANUAL]
8	한국해운물류학회	[MANUAL]
6	한국항만학회	[MANUAL]
8	한국항공경영학회	[MANUAL]
6	한국경제학회	[MANUAL]
8	한국계량경제학회	[MANUAL]
6	한국재정학회	[MANUAL]
8	한국화폐금융학회	[MANUAL]
8	한국국제경제학회	[MANUAL]
8	한국자원경제학회	[MANUAL]
8	한국농업경제학회	[MANUAL]
8	한국산림경제학회	[MANUAL]
8	한국수산경영학회	[MANUAL]
8	한국환경경제학회	[MANUAL]
10	한국보건경제정책학회	[MANUAL]
8	한국노동경제학회	[MANUAL]
8	한국지역경제학회	[MANUAL]
7	한국부동산학회	[MANUAL]
9	한국부동산분석학회	[MANUAL]
8	한국감정평가학회	[MANUAL]
8	한국도시행정학회	[MANUAL]
6	한국행정학회	[MANUAL]
6	한국정책학회	[MANUAL]
8	한국지방자치학회	[MANUAL]
8	한국조세정책학회	[MANUAL]
8	한국인력개발학회	[MANUAL]
6	한국조직학회	[MANUAL]
6	한국정치학회	[MANUAL]
8	한국국제정치학회	[MANUAL]
6	한국정당학회	[MANUAL]
6	한국의회학회	[MANUAL]
6	한국선거학회	[MANUAL]
5	한국법학회	[MANUAL]
6	한국공법학회	[MANUAL]
6	한국사법학회	[MANUAL]
6	한국헌법학회	[MANUAL]
7	한국행정법학회	[MANUAL]
7	한국형사법학회	[MANUAL]
7	한국민사법학회	[MANUAL]
6	한국상법학회	[MANUAL]
7	한국노동법학회	[MANUAL]
9	한국사회보장법학회	[MANUAL]
7	한국경제법학회	[MANUAL]
9	한국지식재산법학회	[MANUAL]
7	한국환경법학회	[MANUAL]
7	한국국제법학회	[MANUAL]
8	한국국제사법학회	[MANUAL]
6	한국세법학회	[MANUAL]
8	한국토지공법학회	[MANUAL]
7	한국인권법학회	[MANUAL]
6	한국사회학회	[MANUAL]
6	한국인류학회	[MANUAL]
8	한국문화인류학회	[MANUAL]
8	한국사회복지학회	[MANUAL]
8	한국노인복지학회	[MANUAL]
8	한국아동복지학회	[MANUAL]
7	한국청소년학회	[MANUAL]
9	한국장애인복지학회	[MANUAL]
10	한국가족사회복지학회	[MANUAL]
6	한국여성학회	[MANUAL]
8	한국성폭력상담소	[MANUAL]
6	한국심리학회	[MANUAL]
8	한국임상심리학회	[MANUAL]
8	한국상담심리학회	[MANUAL]
8	한국발달심리학회	[MANUAL]
11	한국산업및조직심리학회	[MANUAL]
11	한국사회및성격심리학회	[MANUAL]
11	한국인지및생물심리학회	[MANUAL]
13	한국문화및사회문제심리학회	[MANUAL]
8	한국건강심리학회	[MANUAL]
8	한국코칭심리학회	[MANUAL]
8	한국범죄심리학회	[MANUAL]
6	한국경찰학회	[MANUAL]
8	한국경호경비학회	[MANUAL]
6	한국교정학회	[MANUAL]
6	한국교육학회	[MANUAL]
8	한국교육과정학회	[MANUAL]
8	한국교육행정학회	[MANUAL]
8	한국교육평가학회	[MANUAL]
7	한국교육공학회	[MANUAL]
8	한국유아교육학회	[MANUAL]
8	한국초등교육학회	[MANUAL]
8	한국특수교육학회	[MANUAL]
8	한국평생교육학회	[MANUAL]
8	한국직업교육학회	[MANUAL]
8	한국기술교육학회	[MANUAL]
8	한국환경교육학회	[MANUAL]
6	한국체육학회	[MANUAL]
10	한국체육측정평가학회	[MANUAL]
7	한국체육철학회	[MANUAL]
7	한국체육사학회	[MANUAL]
8	한국체육사회학회	[MANUAL]
8	한국체육심리학회	[MANUAL]
8	한국운동생리학회	[MANUAL]
8	한국운동역학학회	[MANUAL]
8	한국사회체육학회	[MANUAL]
6	한국무용학회	[MANUAL]
6	한국음악학회	[MANUAL]
7	한국미술사학회	[MANUAL]
8	한국조형예술학회	[MANUAL]
7	한국디자인학회	[MANUAL]
6	한국공예학회	[MANUAL]
6	한국사진학회	[MANUAL]
6	한국연극학회	[MANUAL]
6	한국방송학회	[MANUAL]
6	한국언론학회	[MANUAL]
8	한국광고홍보학회	[MANUAL]
8	한국언론정보학회	[MANUAL]
6	한국출판학회	[MANUAL]
9	한국도서관정보학회	[MANUAL]
8	한국기록관리학회	[MANUAL]
8	한국국어교육학회	[MANUAL]
8	한국영어교육학회	[MANUAL]
8	한국일어일문학회	[MANUAL]
8	한국중어중문학회	[MANUAL]
6	한국한문학회	[MANUAL]
8	한국한문교육학회	[MANUAL]
6	한국어문학회	[MANUAL]
5	한국어학회	[MANUAL]
6	한국언어학회	[MANUAL]
6	한국번역학회	[MANUAL]
7	한국비교문학회	[MANUAL]
9	한국문학평론가협회	[MANUAL]
6	한국시인협회	[MANUAL]
7	한국소설가협회	[MANUAL]
7	한국수필가협회	[MANUAL]
7	한국극작가협회	[MANUAL]
9	한국아동문학인협회	[MANUAL]
5	한국사학회	[MANUAL]
7	한국고대사학회	[MANUAL]
9	한국고려시대사학회	[MANUAL]
9	한국조선시대사학회	[MANUAL]
8	한국근현대사학회	[MANUAL]
7	한국서양사학회	[MANUAL]
7	한국동양사학회	[MANUAL]
7	한국사상사학회	[MANUAL]
7	한국문화사학회	[MANUAL]
5	한국철학회	[MANUAL]
7	한국동양철학회	[MANUAL]
7	한국서양철학회	[MANUAL]
6	한국주자학회	[MANUAL]
6	한국퇴계학회	[MANUAL]
6	한국율곡학회	[MANUAL]
6	한국유교학회	[MANUAL]
6	한국불교학회	[MANUAL]
7	한국기독교학회	[MANUAL]
6	한국도교학회	[MANUAL]
6	대한민국정부	[MANUAL]
9	대한민국국가보훈부	[MANUAL]
5	국가유산청	[MANUAL]
7	방송통신위원회	[MANUAL]
7	공정거래위원회	[MANUAL]
5	금융위원회	[MANUAL]
7	국민권익위원회	[MANUAL]
9	개인정보보호위원회	[MANUAL]
8	원자력안전위원회	[MANUAL]
9	중앙선거관리위원회	[MANUAL]
3	감사원	[MANUAL]
5	국가정보원	[MANUAL]
4	대검찰청	[MANUAL]
3	경찰청	[MANUAL]
3	소방청	[MANUAL]
3	관세청	[MANUAL]
3	조달청	[MANUAL]
3	통계청	[MANUAL]
3	병무청	[MANUAL]
5	방위사업청	[MANUAL]
3	산림청	[MANUAL]
3	특허청	[MANUAL]
4	기기상청	[MANUAL]
11	행정중심복합도시건설청	[MANUAL]
6	새만금개발청	[MANUAL]
5	해양경찰청	[MANUAL]
5	서울특별시	[MANUAL]
5	부산광역시	[MANUAL]
5	대구광역시	[MANUAL]
5	인천광역시	[MANUAL]
5	광주광역시	[MANUAL]
5	대전광역시	[MANUAL]
5	울산광역시	[MANUAL]
7	세종특별자치시	[MANUAL]
3	경기도	[MANUAL]
7	강원특별자치도	[MANUAL]
4	충청북도	[MANUAL]
4	충청남도	[MANUAL]
7	전북특별자치도	[MANUAL]
4	전라남도	[MANUAL]
4	경상북도	[MANUAL]
4	경상남도	[MANUAL]
7	제주특별자치도	[MANUAL]
8	서울특별시종로구	[MANUAL]
7	서울특별시중구	[MANUAL]
8	서울특별시용산구	[MANUAL]
8	서울특별시성동구	[MANUAL]
8	서울특별시광진구	[MANUAL]
9	서울특별시동대문구	[MANUAL]
8	서울특별시중랑구	[MANUAL]
8	서울특별시성북구	[MANUAL]
8	서울특별시강북구	[MANUAL]
8	서울특별시도봉구	[MANUAL]
8	서울특별시노원구	[MANUAL]
8	서울특별시은평구	[MANUAL]
9	서울특별시서대문구	[MANUAL]
8	서울특별시마포구	[MANUAL]
8	서울특별시양천구	[MANUAL]
8	서울특별시강서구	[MANUAL]
8	서울특별시구로구	[MANUAL]
8	서울특별시금천구	[MANUAL]
9	서울특별시영등포구	[MANUAL]
8	서울특별시동작구	[MANUAL]
8	서울특별시관악구	[MANUAL]
8	서울특별시서초구	[MANUAL]
8	서울특별시강남구	[MANUAL]
8	서울특별시송파구	[MANUAL]
8	서울특별시강동구	[MANUAL]
7	부산광역시중구	[MANUAL]
7	부산광역시서구	[MANUAL]
7	부산광역시동구	[MANUAL]
8	부산광역시영도구	[MANUAL]
9	부산광역시부산진구	[MANUAL]
8	부산광역시동래구	[MANUAL]
7	부산광역시남구	[MANUAL]
7	부산광역시북구	[MANUAL]
9	부산광역시해운대구	[MANUAL]
8	부산광역시사하구	[MANUAL]
8	부산광역시금정구	[MANUAL]
8	부산광역시강서구	[MANUAL]
8	부산광역시연제구	[MANUAL]
8	부산광역시수영구	[MANUAL]
8	부산광역시사상구	[MANUAL]
8	부산광역시기장군	[MANUAL]
7	대구광역시중구	[MANUAL]
7	대구광역시동구	[MANUAL]
7	대구광역시서구	[MANUAL]
7	대구광역시남구	[MANUAL]
7	대구광역시북구	[MANUAL]
8	대구광역시수성구	[MANUAL]
8	대구광역시달서구	[MANUAL]
8	대구광역시달성군	[MANUAL]
8	대구광역시군위군	[MANUAL]
7	인천광역시중구	[MANUAL]
7	인천광역시동구	[MANUAL]
9	인천광역시미추홀구	[MANUAL]
8	인천광역시연수구	[MANUAL]
8	인천광역시남동구	[MANUAL]
8	인천광역시부평구	[MANUAL]
8	인천광역시계양구	[MANUAL]
7	인천광역시서구	[MANUAL]
8	인천광역시강화군	[MANUAL]
8	인천광역시옹진군	[MANUAL]
7	광주광역시동구	[MANUAL]
7	광주광역시서구	[MANUAL]
7	광주광역시남구	[MANUAL]
7	광주광역시북구	[MANUAL]
8	광주광역시광산구	[MANUAL]
7	대전광역시동구	[MANUAL]
7	대전광역시중구	[MANUAL]
7	대전광역시서구	[MANUAL]
8	대전광역시유성구	[MANUAL]
8	대전광역시대덕구	[MANUAL]
7	울산광역시중구	[MANUAL]
7	울산광역시남구	[MANUAL]
7	울산광역시동구	[MANUAL]
7	울산광역시북구	[MANUAL]
8	울산광역시울주군	[MANUAL]
9	경기도수원시장안구	[MANUAL]
9	경기도수원시권선구	[MANUAL]
9	경기도수원시팔달구	[MANUAL]
9	경기도수원시영통구	[MANUAL]
9	경기도성남시수정구	[MANUAL]
9	경기도성남시중원구	[MANUAL]
9	경기도성남시분당구	[MANUAL]
9	경기도안양시만안구	[MANUAL]
9	경기도안양시동안구	[MANUAL]
9	경기도안산시단원구	[MANUAL]
9	경기도안산시상록구	[MANUAL]
9	경기도고양시덕양구	[MANUAL]
10	경기도고양시아산동구	[MANUAL]
10	경기도고양시일산서구	[MANUAL]
9	경기도용인시처인구	[MANUAL]
9	경기도용인시기흥구	[MANUAL]
9	경기도용인시수지구	[MANUAL]
9	경기도부천시원미구	[MANUAL]
5	경기도부천	[MANUAL]
3	소사구	[MANUAL]
9	경기도부천시오정구	[MANUAL]
6	경기도광명시	[MANUAL]
6	경기도평택시	[MANUAL]
7	경기도동두천시	[MANUAL]
6	경기도과천시	[MANUAL]
6	경기도구리시	[MANUAL]
7	경기도남양주시	[MANUAL]
6	경기도오산시	[MANUAL]
6	경기도시흥시	[MANUAL]
6	경기도군포시	[MANUAL]
6	경기도의왕시	[MANUAL]
6	경기도하남시	[MANUAL]
6	경기도파주시	[MANUAL]
6	경기도이천시	[MANUAL]
6	경기도안성시	[MANUAL]
6	경기도김포시	[MANUAL]
6	경기도화성시	[MANUAL]
6	경기도광주시	[MANUAL]
6	경기도양주시	[MANUAL]
6	경기도포천시	[MANUAL]
6	경기도여주시	[MANUAL]
6	경기도연천군	[MANUAL]
6	경기도가평군	[MANUAL]
6	경기도양평군	[MANUAL]
10	강원특별자치도춘천시	[MANUAL]
10	강원특별자치도원주시	[MANUAL]
10	강원특별자치도강릉시	[MANUAL]
10	강원특별자치도동해시	[MANUAL]
10	강원특별자치도태백시	[MANUAL]
10	강원특별자치도속초시	[MANUAL]
10	강원특별자치도삼척시	[MANUAL]
10	강원특별자치도홍천군	[MANUAL]
10	강원특별자치도횡성군	[MANUAL]
10	강원특별자치도영월군	[MANUAL]
10	강원특별자치도평창군	[MANUAL]
10	강원특별자치도정선군	[MANUAL]
10	강원특별자치도철원군	[MANUAL]
10	강원특별자치도화천군	[MANUAL]
10	강원특별자치도양구군	[MANUAL]
10	강원특별자치도인제군	[MANUAL]
10	강원특별자치도고성군	[MANUAL]
10	강원특별자치도양양군	[MANUAL]
10	충청북도청주시상당구	[MANUAL]
10	충청북도청주시서원구	[MANUAL]
10	충청북도청주시흥덕구	[MANUAL]
10	충청북도청주시청원구	[MANUAL]
7	충청북도충주시	[MANUAL]
7	충청북도제천시	[MANUAL]
7	충청북도보은군	[MANUAL]
7	충청북도옥천군	[MANUAL]
7	충청북도영동군	[MANUAL]
7	충청북도증평군	[MANUAL]
7	충청북도진천군	[MANUAL]
7	충청북도괴산군	[MANUAL]
7	충청북도음성군	[MANUAL]
7	충청북도단양군	[MANUAL]
10	충청남도천안시동남구	[MANUAL]
10	충청남도천안시서북구	[MANUAL]
7	충청남도공주시	[MANUAL]
7	충청남도보령시	[MANUAL]
7	충청남도아산시	[MANUAL]
7	충청남도서산시	[MANUAL]
7	충청남도논산시	[MANUAL]
7	충청남도계룡시	[MANUAL]
7	충청남도당진시	[MANUAL]
7	충청남도금산군	[MANUAL]
7	충청남도부여군	[MANUAL]
7	충청남도서천군	[MANUAL]
7	충청남도청양군	[MANUAL]
7	충청남도홍성군	[MANUAL]
7	충청남도예산군	[MANUAL]
7	충청남도태안군	[MANUAL]
13	전북특별자치도전주시완산구	[MANUAL]
13	전북특별자치도전주시덕진구	[MANUAL]
10	전북특별자치도군산시	[MANUAL]
10	전북특별자치도익산시	[MANUAL]
10	전북특별자치도정읍시	[MANUAL]
10	전북특별자치도남원시	[MANUAL]
10	전북특별자치도김제시	[MANUAL]
10	전북특별자치도완주군	[MANUAL]
10	전북특별자치도진안군	[MANUAL]
10	전북특별자치도무주군	[MANUAL]
10	전북특별자치도장수군	[MANUAL]
10	전북특별자치도임실군	[MANUAL]
10	전북특별자치도순창군	[MANUAL]
10	전북특별자치도고창군	[MANUAL]
10	전북특별자치도부안군	[MANUAL]
7	전라남도목포시	[MANUAL]
7	전라남도여수시	[MANUAL]
7	전라남도순천시	[MANUAL]
7	전라남도나주시	[MANUAL]
7	전라남도광양시	[MANUAL]
7	전라남도담양군	[MANUAL]
7	전라남도곡성군	[MANUAL]
7	전라남도구례군	[MANUAL]
7	전라남도고흥군	[MANUAL]
7	전라남도보성군	[MANUAL]
7	전라남도화순군	[MANUAL]
7	전라남도장흥군	[MANUAL]
7	전라남도강진군	[MANUAL]
7	전라남도해남군	[MANUAL]
7	전라남도영암군	[MANUAL]
7	전라남도무안군	[MANUAL]
7	전라남도함평군	[MANUAL]
7	전라남도영광군	[MANUAL]
7	전라남도장성군	[MANUAL]
7	전라남도완도군	[MANUAL]
7	전라남도진도군	[MANUAL]
7	전라남도신안군	[MANUAL]
9	경상북도포항시남구	[MANUAL]
9	경상북도포항시북구	[MANUAL]
7	경상북도경주시	[MANUAL]
7	경상북도김천시	[MANUAL]
7	경상북도안동시	[MANUAL]
7	경상북도구미시	[MANUAL]
7	경상북도영주시	[MANUAL]
7	경상북도영천시	[MANUAL]
7	경상북도상주시	[MANUAL]
7	경상북도문경시	[MANUAL]
7	경상북도경산시	[MANUAL]
7	경상북도의성군	[MANUAL]
7	경상북도청송군	[MANUAL]
7	경상북도영양군	[MANUAL]
7	경상북도영덕군	[MANUAL]
7	경상북도청도군	[MANUAL]
7	경상북도고령군	[MANUAL]
7	경상북도성주군	[MANUAL]
7	경상북도칠곡군	[MANUAL]
7	경상북도예천군	[MANUAL]
7	경상북도봉화군	[MANUAL]
7	경상북도울진군	[MANUAL]
7	경상북도울릉군	[MANUAL]
6	경상남도창원	[MANUAL]
3	의창구	[MANUAL]
10	경상남도창원시성산구	[MANUAL]
12	경상남도창원시마산합포구	[MANUAL]
12	경상남도창원시마산회원구	[MANUAL]
3	진해구	[MANUAL]
7	경상남도진주시	[MANUAL]
7	경상남도통영시	[MANUAL]
7	경상남도사천시	[MANUAL]
7	경상남도김해시	[MANUAL]
7	경상남도밀양시	[MANUAL]
7	경상남도거제시	[MANUAL]
7	경상남도양산시	[MANUAL]
7	경상남도의령군	[MANUAL]
7	경상남도함안군	[MANUAL]
7	경상남도창녕군	[MANUAL]
7	경상남도고성군	[MANUAL]
7	경상남도남해군	[MANUAL]
7	경상남도하동군	[MANUAL]
7	경상남도산청군	[MANUAL]
7	경상남도함양군	[MANUAL]
7	경상남도거창군	[MANUAL]
7	경상남도합천군	[MANUAL]
10	제주특별자치도제주시	[MANUAL]
11	제주특별자치도서귀포시	[MANUAL]
